City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
149,Jinchang,CN,2021-02-05 17:36:55,38.4953,102.1739,32.58,59,0,7.18
150,Makat,KZ,2021-02-05 17:36:55,47.6469,53.3463,36.63,91,94,2.98
151,Antofagasta,CL,2021-02-05 17:36:49,-23.65,-70.4,73.99,64,20,13.8
152,Severo-Kurilsk,RU,2021-02-05 17:36:56,50.6789,156.125,11.7,84,84,8.32
153,Makakilo City,US,2021-02-05 17:34:38,21.3469,-158.0858,62.6,82,90,3.44
154,Kruisfontein,ZA,2021-02-05 17:36:56,-34.0033,24.7314,73.99,74,9,7.0
155,Talaya,RU,2021-02-05 17:36:56,61.3833,152.75,-20.94,84,100,2.15
156,Garelochhead,GB,2021-02-05 17:36:56,56.082,-4.8291,39.99,87,90,23.02
157,Abancay,PE,2021-02-05 17:36:56,-13.6339,-72.8814,48.2,100,90,9.22
158,Xinzhi,CN,2021-02-05 17:36:56,36.4989,111.7047,40.71,56,0,1.19
159,Muros,ES,2021-02-05 17:36:57,42.7762,-9.0603,54.0,72,91,18.03
160,Praia,CV,2021-02-05 17:36:57,14.9215,-23.5087,73.4,60,75,26.46
161,Victoria Point,AU,2021-02-05 17:36:57,-27.5833,153.3,73.99,79,83,6.22
162,Airai,TL,2021-02-05 17:36:57,-8.9266,125.4092,61.75,100,100,3.13
163,Faanui,PF,2021-02-05 17:32:36,-16.4833,-151.75,81.16,67,60,7.05
164,Kodiak,US,2021-02-05 17:33:47,57.79,-152.4072,24.8,80,1,4.61
165,Viedma,AR,2021-02-05 17:36:57,-40.8135,-62.9967,100.0,14,0,8.01
166,Bayonet Point,US,2021-02-05 17:36:57,28.3267,-82.6834,73.99,69,57,14.0
167,Port Macquarie,AU,2021-02-05 17:36:58,-31.4333,152.9167,64.99,99,78,10.67
168,Udachnyy,RU,2021-02-05 17:36:49,66.4167,112.4,-37.64,79,22,2.04
169,Tuatapere,NZ,2021-02-05 17:36:58,-46.1333,167.6833,52.16,90,80,2.55
170,Komsomolskiy,UZ,2021-02-05 17:36:58,40.4272,71.7189,35.6,69,100,6.91
171,Sola,VU,2021-02-05 17:36:58,-13.8833,167.55,80.76,79,97,8.68
172,La Ronge,CA,2021-02-05 17:36:58,55.1001,-105.2842,-23.8,62,16,8.05
173,Qatana,SY,2021-02-05 17:36:58,33.4354,36.0815,64.4,63,20,6.91
174,Alofi,NU,2021-02-05 17:36:58,-19.0595,-169.9187,75.2,100,100,10.36
175,Cap Malheureux,MU,2021-02-05 17:33:38,-19.9842,57.6142,79.0,77,0,1.99
176,Bengkulu,ID,2021-02-05 17:36:59,-3.8004,102.2655,76.78,86,78,4.38
177,Orvieto,IT,2021-02-05 17:36:59,42.7195,12.1116,55.99,86,97,2.59
178,Palaikastron,GR,2021-02-05 17:36:59,35.2,26.25,60.01,81,80,10.31
179,Buraydah,SA,2021-02-05 17:33:33,26.326,43.975,59.0,55,75,20.71
180,Te Anau,NZ,2021-02-05 17:37:00,-45.4167,167.7167,53.69,91,82,0.74
181,Izmayil,UA,2021-02-05 17:37:00,45.3493,28.8408,39.2,75,0,9.22
182,Zarubino,RU,2021-02-05 17:37:00,42.63,131.0922,24.87,94,89,10.42
183,Kyabe,TD,2021-02-05 17:37:00,9.4515,18.9449,84.54,15,59,5.19
184,Pangnirtung,CA,2021-02-05 17:37:00,66.1451,-65.7125,10.4,72,90,4.61
185,Magnolia,US,2021-02-05 17:37:00,33.2671,-93.2393,50.0,49,75,4.61
186,Pondicherry,IN,2021-02-05 17:37:00,11.93,79.83,74.39,78,0,9.98
187,Salinas,US,2021-02-05 17:32:43,36.6777,-121.6555,53.6,71,1,9.22
188,Salvador,SV,2021-02-05 17:37:00,13.8333,-88.9167,89.6,40,0,4.61
189,Jiayuguan,CN,2021-02-05 17:33:36,39.8167,98.3,29.28,69,95,2.28
190,Chokurdakh,RU,2021-02-05 17:37:01,70.6333,147.9167,-12.12,88,98,15.75
191,Noumea,NC,2021-02-05 17:37:01,-22.2763,166.4572,79.0,100,40,2.3
192,Bandarbeyla,SO,2021-02-05 17:37:01,9.4942,50.8122,74.77,69,21,12.35
193,Gunnedah,AU,2021-02-05 17:37:01,-30.9833,150.25,68.0,88,98,5.75
194,Smithers,CA,2021-02-05 17:33:57,54.7804,-127.1743,26.6,93,90,3.58
195,Namatanai,PG,2021-02-05 17:37:01,-3.6667,152.4333,78.48,87,97,10.94
196,Baruun-Urt,MN,2021-02-05 17:37:01,46.6806,113.2792,8.08,89,100,9.37
197,Carutapera,BR,2021-02-05 17:37:01,-1.195,-46.02,86.4,55,5,10.33
198,Oranjemund,NA,2021-02-05 17:37:02,-28.55,16.4333,64.8,84,1,17.45
199,Quang Ngai,VN,2021-02-05 17:37:02,15.1167,108.8,67.82,90,74,2.37
200,Kalmunai,LK,2021-02-05 17:37:02,7.4167,81.8167,75.83,86,94,7.78
201,Nakhon Si Thammarat,TH,2021-02-05 17:37:02,8.25,100.0,75.02,90,89,2.98
202,Taoudenni,ML,2021-02-05 17:37:02,22.6783,-3.9836,86.32,11,35,10.18
203,Flin Flon,CA,2021-02-05 17:37:02,54.7682,-101.865,-18.4,63,20,16.11
204,Georgetown,MY,2021-02-05 17:37:02,5.4112,100.3354,82.4,83,20,3.94
205,Linares,CL,2021-02-05 17:37:02,-35.85,-71.6,86.25,36,1,4.07
206,Nouadhibou,MR,2021-02-05 17:37:02,20.931,-17.0347,68.0,68,40,17.27
207,Avarua,CK,2021-02-05 17:37:03,-21.2078,-159.775,75.2,94,82,2.3
208,Sinnamary,GF,2021-02-05 17:37:03,5.3833,-52.95,79.12,83,89,13.98
209,Fort Morgan,US,2021-02-05 17:37:03,40.2503,-103.8,35.6,30,90,6.91
210,Quartz Hill,US,2021-02-05 17:37:03,34.6453,-118.2181,55.99,56,1,3.76
