City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
222,Mogadishu,SO,2.0371,45.3438,77.56,78,0,19.17,clear sky
223,Wanning,CN,18.8003,110.3967,68.31,89,3,4.52,clear sky
224,Pevek,RU,69.7008,170.3133,-1.84,86,100,1.32,overcast clouds
225,Kamiiso,JP,41.8167,140.65,30.07,93,100,5.37,overcast clouds
226,Vila Velha,BR,-20.3297,-40.2925,87.8,55,20,9.22,few clouds
227,Maridi,SS,4.9158,29.4742,85.78,14,14,5.17,few clouds
228,Marsa Matruh,EG,31.3525,27.2453,62.6,77,0,8.05,clear sky
229,Waitati,NZ,-45.75,170.5667,57.99,81,8,4.0,clear sky
230,Esperance,AU,-33.8667,121.9,60.8,82,90,11.5,overcast clouds
231,Cap Malheureux,MU,-19.9842,57.6142,80.01,78,53,3.0,broken clouds
232,Troitskoye,RU,52.9821,84.6757,27.97,99,44,8.81,scattered clouds
233,Emerald,AU,-23.5333,148.1667,84.2,65,100,8.05,overcast clouds
234,Kiunga,PG,-6.1219,141.2906,74.35,98,100,1.92,overcast clouds
235,Bagdarin,RU,54.4333,113.6,-12.66,81,58,3.27,broken clouds
236,Kaili,ID,-3.4626,120.2147,68.45,96,100,2.44,overcast clouds
237,Kem,RU,64.9555,34.5793,18.12,97,100,12.5,light snow
238,Lanzhou,CN,36.0564,103.7922,35.01,37,20,2.46,few clouds
239,Maniitsoq,GL,65.4167,-52.9,23.74,76,0,8.79,clear sky
240,Tiarei,PF,-17.5333,-149.3333,77.0,73,75,5.75,light rain
241,Aborlan,PH,9.4352,118.5492,78.8,83,20,4.61,few clouds
242,Omsukchan,RU,62.5333,155.8,-16.17,87,83,1.61,broken clouds
243,Kununurra,AU,-15.7667,128.7333,80.6,94,40,5.75,scattered clouds
244,Iquique,CL,-20.2208,-70.1431,77.0,53,0,13.8,clear sky
245,Taft,IR,31.7471,54.2088,57.2,24,0,4.61,clear sky
246,Iseyin,NG,7.9667,3.6,100.42,16,56,3.6,broken clouds
247,Talnakh,RU,69.4865,88.3972,-29.24,76,0,3.56,clear sky
248,Pinega,RU,64.7001,43.3936,-5.71,91,99,8.3,overcast clouds
249,Jieshi,CN,22.8134,115.8257,65.35,82,0,3.06,clear sky
250,Vardo,NO,70.3705,31.1107,23.0,74,40,18.41,snow
251,Puerto Escondido,MX,15.85,-97.0667,82.4,74,40,7.25,scattered clouds
252,Carnarvon,AU,-24.8667,113.6333,80.6,100,75,12.66,broken clouds
253,Hualmay,PE,-11.0964,-77.6139,74.75,66,94,8.43,overcast clouds
254,Te Anau,NZ,-45.4167,167.7167,52.79,85,24,0.94,few clouds
255,Yaan,NG,7.3833,8.5667,101.12,8,0,9.51,clear sky
256,Ilulissat,GL,69.2167,-51.1,17.6,41,40,26.46,snow
257,Gorontalo,ID,0.5412,123.0595,75.09,88,96,3.53,overcast clouds
258,Saint Anthony,US,45.0205,-93.218,-0.4,55,40,19.57,scattered clouds
259,Tommot,RU,58.9564,126.2925,-18.85,83,100,1.01,overcast clouds
260,Poindimie,NC,-20.9333,165.3333,76.6,82,2,4.41,clear sky
261,Coahuayana,MX,18.7333,-103.6833,68.0,73,1,0.85,clear sky
262,Luderitz,NA,-26.6481,15.1594,77.23,46,0,30.27,clear sky
263,Dunedin,NZ,-45.8742,170.5036,57.99,87,4,1.01,clear sky
264,Husavik,IS,66.0449,-17.3389,33.8,64,75,6.91,broken clouds
