City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
234,Kiunga,PG,74.35,overcast clouds,-6.1219,141.2906,Airport Lodge Kiunga
240,Tiarei,PF,77.0,light rain,-17.5333,-149.3333,Le Rocher de Tahiti
241,Aborlan,PH,78.8,few clouds,9.4352,118.5492,Kevina Transient House
243,Kununurra,AU,80.6,scattered clouds,-15.7667,128.7333,Hotel Kununurra
244,Iquique,CL,77.0,clear sky,-20.2208,-70.1431,Backpacker`s Hostel Iquique
251,Puerto Escondido,MX,82.4,scattered clouds,15.85,-97.0667,Aldea del Bazar Hotel and Spa
252,Carnarvon,AU,80.6,broken clouds,-24.8667,113.6333,Hospitality Carnarvon
253,Hualmay,PE,74.75,overcast clouds,-11.0964,-77.6139,Hotel Villa Kitzia Huacho
257,Gorontalo,ID,75.09,overcast clouds,0.5412,123.0595,Maqna Hotel by Prasanthi
260,Poindimie,NC,76.6,clear sky,-20.9333,165.3333,hotel de la plage
271,Guaruja,BR,82.0,broken clouds,-23.9931,-46.2564,Charme Hotel Guarujá
272,Gold Coast,AU,75.0,overcast clouds,-28.0,153.4333,Mantra Towers of Chevron Surfers Paradise
274,Lindi,TZ,82.4,scattered clouds,-10.0,39.7167,Lindi paradise house
275,Isabela,PH,77.0,broken clouds,6.7085,121.9711,Isawad Resort
279,Samarai,PG,82.49,overcast clouds,-10.6167,150.6667,Nuli Sapi
280,Teahupoo,PF,77.0,light rain,-17.8333,-149.2667,Vanira Lodge
282,Ballina,AU,71.6,light rain,-28.8667,153.5667,Ramada Hotel & Suites by Wyndham Ballina Byron
283,Ko Samui,TH,80.62,scattered clouds,9.5357,99.9357,"The Passage Samui Villas & Resort, Thailand"
286,Willowmore,ZA,84.31,clear sky,-33.2926,23.4895,Jumper's Place
289,Hobyo,SO,78.26,clear sky,5.3505,48.5268,Halane Hotel and Restaurent
292,Cananeia,BR,80.33,scattered clouds,-25.0147,-47.9267,Casa azul
296,General Roca,AR,73.4,clear sky,-39.0333,-67.5833,Hotel El Recreo
297,Tabora,TZ,71.6,moderate rain,-5.0167,32.8,Barcelona Lodge
300,Lujan,AR,87.01,clear sky,-34.5703,-59.105,Hotel Biarritz
309,Anloga,GH,91.4,clear sky,5.7947,0.8973,Pin Drop Hotel
310,Port Moresby,PG,77.0,scattered clouds,-9.4431,147.1797,Lamana Hotel
311,Oistins,BB,84.2,scattered clouds,13.0667,-59.5333,Butterfly Beach Hotel
316,Alice Town,BS,75.4,clear sky,25.7167,-79.3,Bimini Big Game Club Resort & Marina
317,Axim,GH,83.88,few clouds,4.8699,-2.2405,AXIM BEACH RESORT AND SPA
318,Begoro,GH,91.53,scattered clouds,6.3871,-0.3774,MR ODAME
321,Calama,CL,73.4,clear sky,-22.4667,-68.9333,Park Hotel Calama
325,Nata,PA,84.2,few clouds,8.3333,-80.5167,Cabañas Estancia Bayamon
326,Rio Grande,BR,78.01,scattered clouds,-32.035,-52.0986,Hotel Atlântico Rio Grande
327,Sibu,MY,77.0,moderate rain,2.3,111.8167,RH HOTEL (4 Star)
328,Abu Dhabi,AE,77.0,clear sky,24.4667,54.3667,Beach Rotana
330,Padang,ID,77.0,few clouds,-0.9492,100.3543,Mercure Padang
339,Katherine,AU,77.0,broken clouds,-14.4667,132.2667,Pine Tree Motel
342,Panaba,MX,83.5,few clouds,21.2833,-88.2667,Posada rosario
343,San Andres,CO,84.2,scattered clouds,12.5847,-81.7006,Hotel Arena Blanca
344,Tautira,PF,77.0,light rain,-17.7333,-149.15,Pension Oaoa
347,Arinos,BR,81.03,overcast clouds,-15.9169,-46.1056,casa do bruno
349,Ambilobe,MG,76.26,light rain,-13.2,49.05,Hôtel & Restaurant DIANA Ambilobe
350,Barinitas,VE,81.27,overcast clouds,8.7622,-70.4111,Hotel- Posada Valle Esmeralda C.A
361,Robertsport,LR,82.6,overcast clouds,6.7533,-11.3686,Kwepunha Retreat
362,Catacocha,EC,71.1,overcast clouds,-4.0667,-79.6333,Hacienda La Aurora
363,Nelson Bay,AU,71.01,moderate rain,-32.7167,152.15,Mantra Nelson Bay
366,Fayaoue,NC,79.34,clear sky,-20.65,166.5333,Chez Dydyce Guesthouse
371,Luganville,VU,77.5,scattered clouds,-15.5333,167.1667,The Espiritu Hotel
373,Tocopilla,CL,73.53,clear sky,-22.092,-70.1979,Hotel Galvarino
379,San Carlos,VE,93.79,overcast clouds,9.6612,-68.5827,Hotel Paternopoli
380,Formosa Do Rio Preto,BR,77.63,overcast clouds,-11.0483,-45.1931,Porto Center Hotel
382,Sola,VU,75.2,few clouds,-13.8833,167.55,Leumerus Bungalows
385,Benguela,AO,80.89,clear sky,-12.5763,13.4055,Hotel Praia Morena
386,Caravelas,BR,82.89,overcast clouds,-17.7125,-39.2481,Pousada dos Navegantes
388,Imbituba,BR,78.8,clear sky,-28.24,-48.6703,Praia Hotel Imbituba
393,Plettenberg Bay,ZA,73.13,clear sky,-34.0527,23.3716,Thanda Vista B&B
395,Oriximina,BR,94.32,few clouds,-1.7656,-55.8661,Pousada Tia Amélia
398,Honiara,SB,78.69,moderate rain,-9.4333,159.95,Heritage Park Hotel
399,Svay Rieng,KH,76.14,scattered clouds,11.0879,105.7993,Apsara guesthouse
401,Namibe,AO,75.43,scattered clouds,-15.1961,12.1522,Hotel Chik Chik Namibe
402,Santa Cruz,BO,86.0,few clouds,-17.8,-63.1667,Hotel Cortez
403,Shakawe,BW,78.71,light rain,-18.3667,21.85,Ditlhapi Guest House
404,Lorengau,PG,81.64,broken clouds,-2.0226,147.2712,Lorengau Harbourside Hotel
405,Ondjiva,AO,89.51,overcast clouds,-17.0667,15.7333,SOS Motel
406,Sechura,PE,80.38,overcast clouds,-5.5569,-80.8222,Hospedaje Costa Bella
410,Ugoofaaru,MV,82.08,broken clouds,5.6667,73.0,Ungoofaaru Inn
412,Namatanai,PG,79.48,broken clouds,-3.6667,152.4333,Namatanai Hotel
413,Gigmoto,PH,78.57,broken clouds,13.7796,124.39,Cj's Travellers Inn
414,Marsh Harbour,BS,76.35,clear sky,26.5412,-77.0636,Abaco Beach Resort
416,Saint-Georges,GD,86.0,scattered clouds,12.0564,-61.7485,Siesta Hotel
